	tf.id	family	gene.name	back.targ	back.ratio	url
1	AT5G65510	AP2-EREBP	AIL7	2679	0.096872175	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G65510&sub_type=gene
2	AT5G15830	bZIP	bZIP3	6440	0.232869282	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G15830&sub_type=gene
3	AT5G52830	WRKY	WRKY27	13734	0.496619056	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G52830&sub_type=gene
4	AT2G33550	Homeodomain-like	ASR3	7131	0.257855722	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G33550&sub_type=gene
5	AT3G10030			2174	0.078611463	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G10030&sub_type=gene
6	AT3G14180	Trihelix		4937	0.178521063	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G14180&sub_type=gene
7	AT3G25990	Trihelix		2262	0.081793527	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G25990&sub_type=gene
8	AT5G05550		VFP5	8898	0.321750136	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G05550&sub_type=gene
9	AT5G47660	Trihelix		9003	0.325546917	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G47660&sub_type=gene
10	AT1G13450	Trihelix	GT-1	418	0.015114807	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G13450&sub_type=gene
11	AT2G35530	bZIP	bZIP16	5609	0.202820466	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G35530&sub_type=gene
12	AT1G76890	Trihelix	GT2	8416	0.304321099	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G76890&sub_type=gene
13	AT5G01380	Trihelix	GT-3a	1235	0.044657386	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT5G01380&sub_type=gene
14	AT1G33240	Trihelix	GTL1	14090	0.509491954	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G33240&sub_type=gene
15	AT1G30650	WRKY	"WRKY14, AR411"	7241	0.261833303	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G30650&sub_type=gene
16	AT3G15270	SBP	SPL5	14608	0.528222745	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT3G15270&sub_type=gene
17	AT2G42200	SBP	SPL9	16031	0.579678178	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT2G42200&sub_type=gene
18	AT1G19790	C2H2	SRS7	8734	0.315819924	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G19790&sub_type=gene
19	AT1G69690	TCP		921	0.0333032	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G69690&sub_type=gene
20	AT1G72010	TCP		2427	0.087759899	https://www.arabidopsis.org/servlets/Search?type=general&search_action=detail&name=AT1G72010&sub_type=gene
