"","x"
"1","AT5G65510"
"2","AT5G15830"
"3","AT5G52830"
"4","AT2G33550"
"5","AT3G10030"
"6","AT3G14180"
"7","AT3G25990"
"8","AT5G05550"
"9","AT5G47660"
"10","AT1G13450"
"11","AT2G35530"
"12","AT1G76890"
"13","AT5G01380"
"14","AT1G33240"
"15","AT1G30650"
"16","AT3G15270"
"17","AT2G42200"
"18","AT1G19790"
"19","AT1G69690"
"20","AT1G72010"
"21","AT2G45680"
"22","AT5G08330"
"23","AT1G53230"
"24","AT5G23280"
"25","AT3G27010"
"26","AT1G30210"
"27","AT2G40620"
"28","AT1G76880"
"29","AT1G49480"
"30","AT4G24020"
"31","AT1G74480"
"32","AT3G09735"
"33","AT2G47070"
"34","AT5G50670"
"35","AT1G20980"
"36","AT3G57920"
"37","AT5G66300"
"38","AT1G12260"
"39","AT5G62380"
"40","AT4G38170"
"41","AT3G10800"
"42","AT1G24250"
"43","AT3G21890"
"44","AT1G13260"
"45","AT4G01550"
"46","AT1G79580"
"47","AT4G28500"
"48","AT1G28470"
"49","AT1G75390"
"50","AT2G18060"
"51","AT4G36160"
"52","AT1G19040"
"53","AT1G01720"
"54","AT3G15170"
"55","AT5G53950"
"56","AT2G04038"
"57","AT1G76420"
"58","AT5G04410"
"59","AT1G52880"
"60","AT1G69490"
"61","AT2G46770"
"62","AT2G27300"
"63","AT4G01540"
"64","AT3G18400"
"65","AT3G49530"
"66","AT4G10350"
"67","AT4G17980"
"68","AT4G29230"
"69","AT1G77920"
"70","AT5G07680"
"71","AT5G13180"
"72","AT5G18270"
"73","AT5G39610"
"74","AT5G39820"
"75","AT5G46590"
"76","AT3G12250"
"77","AT5G64060"
"78","AT1G54330"
"79","AT1G65910"
"80","AT2G02450"
"81","AT2G24430"
"82","AT2G43000"
"83","AT3G03200"
"84","AT3G04060"
"85","AT1G08320"
"86","AT3G04070"
"87","AT3G10480"
"88","AT3G10500"
"89","AT3G15500"
"90","AT3G17730"
"91","AT5G02840"
"92","AT1G01060"
"93","AT5G17300"
"94","AT5G67580"
"95","AT5G59430"
"96","AT3G46590"
"97","AT1G02230"
"98","AT1G43700"
"99","AT1G02250"
"100","AT1G32870"
"101","AT1G34180"
"102","AT1G34190"
"103","AT3G09600"
"104","AT3G11280"
"105","AT4G01280"
"106","AT2G18160"
"107","AT5G05790"
"108","AT5G08520"
"109","AT5G47390"
"110","AT5G52660"
"111","AT5G58900"
"112","AT1G18330"
"113","AT4G34590"
"114","AT1G19000"
"115","AT1G49010"
"116","AT1G74840"
"117","AT3G10113"
"118","AT3G10580"
"119","AT5G56840"
"120","AT5G11260"
"121","AT5G61620"
"122","AT3G08500"
"123","AT2G02820"
"124","AT1G34670"
"125","AT5G62470"
"126","AT4G18770"
"127","AT5G62320"
"128","AT5G65210"
"129","AT1G72740"
"130","AT1G09540"
"131","AT1G68320"
"132","AT1G79180"
"133","AT3G11440"
"134","AT3G12720"
"135","AT2G23290"
"136","AT4G37260"
"137","AT4G05100"
"138","AT3G50060"
"139","AT2G26960"
"140","AT5G11510"
"141","AT5G02320"
"142","AT5G67300"
"143","AT5G54230"
"144","AT4G01680"
"145","AT5G17800"
"146","AT5G06950"
"147","AT3G01530"
"148","AT1G16490"
"149","AT5G56110"
"150","AT4G32730"
"151","AT1G06180"
"152","AT3G53200"
"153","AT1G06850"
"154","AT5G06100"
"155","AT2G32460"
"156","AT3G02940"
"157","AT1G25340"
"158","AT3G27785"
"159","AT5G58850"
"160","AT1G22070"
"161","AT3G30210"
"162","AT4G04890"
"163","AT2G42430"
"164","AT1G06280"
"165","AT2G30340"
"166","AT2G45420"
"167","AT2G45410"
"168","AT5G10030"
"169","AT3G26620"
"170","AT5G63090"
"171","AT5G13790"
"172","AT1G31140"
"173","AT2G22540"
"174","AT1G74650"
"175","AT3G06490"
"176","AT5G47370"
"177","AT2G22430"
"178","AT2G46680"
"179","AT1G69780"
"180","AT1G70920"
"181","AT3G01220"
"182","AT3G61150"
"183","AT5G16820"
"184","AT5G06960"
"185","AT5G62020"
"186","AT4G11660"
"187","AT3G22830"
"188","AT2G41690"
"189","AT3G24520"
"190","AT5G65310"
"191","AT2G18550"
"192","AT4G36740"
"193","AT5G66700"
"194","AT5G03790"
"195","AT1G30490"
"196","AT5G06839"
"197","AT4G18880"
"198","AT3G04030"
"199","AT3G12730"
"200","AT3G24120"
"201","AT5G29000"
"202","AT4G00250"
"203","AT2G06200"
"204","AT2G45480"
"205","AT4G00730"
"206","AT1G52150"
"207","AT1G25550"
"208","AT1G68670"
"209","AT2G01060"
"210","AT2G03500"
"211","AT2G40260"
"212","AT5G46830"
"213","AT4G37180"
"214","AT5G45580"
"215","AT5G08750"
"216","AT5G63260"
"217","AT1G68200"
"218","AT5G09410"
"219","AT4G16150"
"220","AT1G59640"
"221","AT2G20110"
"222","AT3G22760"
"223","AT4G14770"
"224","AT5G14960"
"225","AT2G36010"
"226","AT3G20770"
"227","AT1G35460"
"228","AT4G15090"
"229","AT1G49560"
"230","AT2G20400"
"231","AT2G37590"
"232","AT4G21030"
"233","AT4G21040"
"234","AT4G21080"
"235","AT3G24050"
"236","AT1G45249"
"237","AT3G60530"
"238","AT1G08010"
"239","AT4G36620"
"240","AT2G18380"
"241","AT2G15740"
"242","AT3G60580"
"243","AT4G26030"
"244","AT5G04390"
"245","AT5G22990"
"246","AT5G66730"
"247","AT2G36270"
"248","AT3G13810"
"249","AT2G02080"
"250","AT2G02070"
"251","AT1G55110"
"252","AT5G03150"
"253","AT1G03840"
"254","AT2G01940"
"255","AT1G34370"
"256","AT1G27730"
"257","AT1G51220"
"258","AT3G12130"
"259","AT1G51700"
"260","AT1G64620"
"261","AT3G45610"
"262","AT3G56850"
"263","AT4G38000"
"264","AT5G62940"
"265","AT5G66940"
"266","AT3G47500"
"267","AT1G29160"
"268","AT2G46590"
"269","AT2G46270"
"270","AT3G50410"
"271","AT3G55370"
"272","AT5G60850"
"273","AT5G45300"
"274","AT1G78700"
"275","AT4G18890"
"276","AT4G36780"
"277","AT1G75080"
"278","AT1G47655"
"279","AT1G69570"
"280","AT2G28810"
"281","AT3G52440"
"282","AT5G02460"
"283","AT1G69180"
"284","AT1G46768"
"285","AT1G43160"
"286","AT5G52020"
"287","AT4G34410"
"288","AT2G31220"
"289","AT5G25810"
"290","AT1G19850"
"291","AT5G62000"
"292","AT1G20910"
"293","AT2G01930"
"294","AT3G20310"
"295","AT1G53170"
"296","AT3G23220"
"297","AT5G25190"
"298","AT5G13910"
"299","AT5G10510"
"300","AT5G18560"
"301","AT5G19790"
"302","AT1G53910"
"303","AT5G47220"
"304","AT3G62420"
"305","AT1G51140"
"306","AT1G50640"
"307","AT3G15210"
"308","AT5G47230"
"309","AT1G28370"
"310","AT2G44840"
"311","AT2G31230"
"312","AT2G35700"
"313","AT5G07310"
"314","AT5G08130"
"315","AT4G27950"
"316","AT1G68550"
"317","AT1G12610"
"318","AT1G63030"
"319","AT5G67190"
"320","AT2G23340"
"321","AT4G06746"
"322","AT1G69010"
"323","AT2G38340"
"324","AT1G03800"
"325","AT5G51190"
"326","AT4G25490"
"327","AT4G25470"
"328","AT4G25480"
"329","AT5G51990"
"330","AT3G50260"
"331","AT1G19210"
"332","AT1G22810"
"333","AT1G36060"
"334","AT2G18350"
"335","AT2G33710"
"336","AT2G44940"
"337","AT4G16750"
"338","AT4G31060"
"339","AT4G32800"
"340","AT5G18450"
"341","AT5G65130"
"342","AT1G01250"
"343","AT5G65410"
"344","AT1G12630"
"345","AT1G28160"
"346","AT1G44830"
"347","AT1G71450"
"348","AT1G77200"
"349","AT3G16280"
"350","AT3G60490"
"351","AT4G18450"
"352","AT5G60130"
"353","AT3G26790"
"354","AT4G01500"
"355","AT3G18990"
"356","AT5G64750"
"357","AT1G14687"
"358","AT1G75240"
"359","AT3G28920"
"360","AT1G62300"
"361","AT4G24240"
"362","AT5G46350"
"363","AT1G29280"
"364","AT3G56400"
"365","AT1G29860"
"366","AT1G32150"
"367","AT5G13080"
"368","AT5G39760"
"369","AT2G03340"
"370","AT4G18170"
"371","AT4G23550"
"372","AT5G23930"
"373","AT5G24110"
"374","AT4G22070"
"375","AT2G38470"
"376","AT1G80840"
"377","AT3G01970"
"378","AT5G26170"
"379","AT2G40740"
"380","AT2G23320"
"381","AT3G42860"
"382","AT4G31800"
"383","AT4G26640"
"384","AT2G30590"
"385","AT4G01250"
"386","AT5G41570"
"387","AT2G30250"
