tf.id,family,gene.name,genome.count,genome.ratio
AT3G26790,ABI3VP1,"FUS3, FUSCA3",2463,0.089061653
AT3G18990,ABI3VP1,"REM39, VRN1",5211,0.188428856
AT5G64750,AP2-EREBP,ABR1,7775,0.281142651
AT5G10510,AP2-EREBP,"AIL6, PLT3",511,0.018477671
AT5G65510,AP2-EREBP,AIL7,2679,0.096872175
AT4G25490,AP2-EREBP,"CBF1, DREB1B",9342,0.337805099
AT4G25470,AP2-EREBP,"CBF2, DREB1C, FTQ4",8523,0.308190201
AT4G25480,AP2-EREBP,"CBF3, DREB1A",6745,0.243898029
AT5G51990,AP2-EREBP,"CBF4, DREB1D",13274,0.479985536
AT4G27950,AP2-EREBP,CRF4,1978,0.071524137
AT1G12610,AP2-EREBP,DDF1,2205,0.079732417
AT1G63030,AP2-EREBP,DDF2,314,0.011354185
AT3G50260,AP2-EREBP,"ERF#011, CEJ1, DEAR1",14013,0.506707648
AT1G03800,AP2-EREBP,ERF10,4168,0.150714157
AT1G28370,AP2-EREBP,ERF11,5657,0.204556138
AT2G44840,AP2-EREBP,ERF13,7829,0.283095281
AT2G31230,AP2-EREBP,ERF15,11987,0.433447839
AT5G47220,AP2-EREBP,ERF2,663,0.023973965
AT1G50640,AP2-EREBP,ERF3,2671,0.096582896
AT2G35700,AP2-EREBP,ERF38,4367,0.157909962
AT3G15210,AP2-EREBP,ERF4,8393,0.303489423
AT5G47230,AP2-EREBP,ERF5,700,0.025311879
AT3G20310,AP2-EREBP,ERF7,10826,0.391466281
AT1G53170,AP2-EREBP,ERF8,7604,0.27495932
AT5G13910,AP2-EREBP,"LEP, LET",501,0.018116073
AT5G18560,AP2-EREBP,PUCHI,2412,0.087217501
AT1G46768,AP2-EREBP,RAP2.1,1889,0.068305912
AT5G52020,AP2-EREBP,RAP2.10,7033,0.254312059
AT5G19790,AP2-EREBP,RAP2.11,10668,0.385753028
AT1G53910,AP2-EREBP,RAP2.12,5399,0.195226903
AT4G34410,AP2-EREBP,"RAP2.12, RRTF1",4818,0.174218044
AT1G43160,AP2-EREBP,RAP2.6,5697,0.206002531
AT4G06746,AP2-EREBP,RAP2.9,2105,0.076116435
AT5G25810,AP2-EREBP,TINY,1602,0.057928042
AT1G01250,AP2-EREBP,,667,0.024118604
