"TF","totaltargets","genomeratio","subtargets","subratio","logFC","pval"
"AT2G18350",10423,0.37689387090942,11,0.785714285714286,1.05984645754328,0.00356803418636903
"AT5G09410",2295,0.082986801663352,5,0.357142857142857,2.10554745613188,0.00415864856198801
"AT1G06180",2422,0.0875790996203218,5,0.357142857142857,2.02784274473872,0.00524959663958121
"AT4G36780",4944,0.178774181883927,7,0.5,1.48378969369891,0.00616270806515688
"AT5G65130",1742,0.0629904176459953,4,0.285714285714286,2.18136889094682,0.00944789722367385
"AT5G26170",10181,0.368143192912674,10,0.714285714285714,0.956234241860338,0.0107046145206892
"AT1G69010",16234,0.587018622310613,13,0.928571428571429,0.661606619511129,0.0115071521682318
"AT5G06839",4299,0.15545109383475,6,0.428571428571429,1.46307490528353,0.0136965496630214
"AT5G13790",2032,0.0734767673115169,4,0.285714285714286,1.95921311277352,0.0160407745934576
"AT5G10030",6110,0.22093653950461,7,0.5,1.1782960568972,0.020007369669684
"AT3G22760",10699,0.386873983004882,10,0.714285714285714,0.884637555870326,0.0239196780515597
"AT5G06960",2308,0.0834568794069789,4,0.285714285714286,1.7754702909002,0.0245766677411508
"AT1G79180",2353,0.0850840715964563,4,0.285714285714286,1.74761219432139,0.026193406279391
"AT3G14180",4937,0.178521063098897,6,0.428571428571429,1.26344137052574,0.0262716076497583
"AT4G14770",11284,0.408027481468089,10,0.714285714285714,0.807834943847474,0.0273297588562999
"AT1G49480",15124,0.546881214970168,12,0.857142857142857,0.648308166279606,0.0282251583119519
"AT2G20110",13568,0.49061652504068,11,0.785714285714286,0.679408963619781,0.0322231512143819
"AT4G16150",673,0.0243355631892967,2,0.142857142857143,2.55343510493537,0.0443879448304866
"AT2G15740",2781,0.100560477309709,4,0.285714285714286,1.506509770199,0.0449195552385281
"AT5G04410",10001,0.361634424154764,9,0.642857142857143,0.829966159147452,0.0469904532237681
"AT4G21030",731,0.026432833122401,2,0.142857142857143,2.43417020359325,0.0515037556085386
