	tf.id	family	gene.name	back.targ	back.ratio
1	AT5G65510	AP2-EREBP	AIL7	2679	0.096872175
2	AT5G15830	bZIP	bZIP3	6440	0.232869282
3	AT5G52830	WRKY	WRKY27	13734	0.496619056
4	AT2G33550	Homeodomain-like	ASR3	7131	0.257855722
5	AT3G10030			2174	0.078611463
6	AT3G14180	Trihelix		4937	0.178521063
7	AT3G25990	Trihelix		2262	0.081793527
8	AT5G05550		VFP5	8898	0.321750136
9	AT5G47660	Trihelix		9003	0.325546917
10	AT1G13450	Trihelix	GT-1	418	0.015114807
11	AT2G35530	bZIP	bZIP16	5609	0.202820466
12	AT1G76890	Trihelix	GT2	8416	0.304321099
13	AT5G01380	Trihelix	GT-3a	1235	0.044657386
14	AT1G33240	Trihelix	GTL1	14090	0.509491954
15	AT1G30650	WRKY	"WRKY14, AR411"	7241	0.261833303
16	AT3G15270	SBP	SPL5	14608	0.528222745
17	AT2G42200	SBP	SPL9	16031	0.579678178
18	AT1G19790	C2H2	SRS7	8734	0.315819924
19	AT1G69690	TCP		921	0.0333032
20	AT1G72010	TCP		2427	0.087759899
21	AT2G45680	TCP		317	0.011462665
22	AT5G08330	TCP		2557	0.092460676
23	AT1G53230	TCP	TCP3	1293	0.046754656
24	AT5G23280	TCP		842	0.030446574
25	AT3G27010	TCP	"TCP20, PCF1"	908	0.032833122
26	AT1G30210	TCP	TCP24	3053	0.11039595
27	AT2G40620	bZIP	bZIP18	8196	0.296365937
28	AT1G76880	Trihelix		472	0.017067438
29	AT1G49480	REM	"REM19, RTV1"	15124	0.546881215
30	AT4G24020	NLP	NLP7	829	0.029976496
31	AT1G74480	AtRKD	RKD2	7686	0.277924426
32	AT3G09735			6577	0.237823178
33	AT2G47070	SBP	SPL1	7015	0.253661182
34	AT5G50670	SBP	SPL13B	1061	0.038365576
35	AT1G20980	SBP	"SPL14, FBR6, SPL1R2"	2263	0.081829687
36	AT3G57920	SBP	SPL15	13630	0.492858434
